Date,Open,High,Low,Close ,Adj Close ,Volume
"Dec 10, 2024",444.5,449.62,443.51,444.06,444.06,"83,51,792"
"Dec 9, 2024",442.6,448.33,440.5,446.02,446.02,"1,91,44,400"
"Dec 6, 2024",442.3,446.1,441.77,443.57,443.57,"1,88,21,000"
"Dec 5, 2024",437.92,444.66,436.17,442.62,442.62,"2,16,97,800"
"Dec 4, 2024",433.03,439.67,432.63,437.42,437.42,"2,60,09,400"
"Dec 3, 2024",429.84,432.47,427.74,431.2,431.2,"1,83,02,000"
"Dec 2, 2024",421.57,433,421.31,430.98,430.98,"2,02,07,200"
"Nov 29, 2024",420.09,424.88,417.8,423.46,423.46,"1,62,71,900"
"Nov 27, 2024",425.11,427.23,422.02,422.99,422.99,"1,83,32,400"
"Nov 26, 2024",419.59,429.04,418.85,427.99,427.99,"2,34,58,900"
"Nov 25, 2024",418.38,421.08,414.85,418.79,418.79,"2,76,91,100"
"Nov 22, 2024",411.37,417.4,411.06,417,417,"2,48,14,600"
"Nov 21, 2024",0.83 Dividend,,,,,
"Nov 21, 2024",419.5,419.78,410.29,412.87,412.87,"2,07,80,200"
"Nov 20, 2024",416.87,417.29,410.58,415.49,414.66,"1,91,91,700"
"Nov 19, 2024",413.11,417.94,411.55,417.79,416.96,"1,81,33,500"
"Nov 18, 2024",414.87,418.4,412.1,415.76,414.93,"2,47,42,000"
"Nov 15, 2024",419.82,422.8,413.64,415,414.17,"2,82,47,600"
"Nov 14, 2024",425,428.17,420,426.89,426.04,"3,02,46,900"
"Nov 13, 2024",421.64,429.33,418.21,425.2,424.35,"2,15,02,200"
"Nov 12, 2024",418.25,424.44,417.2,423.03,422.18,"1,94,01,200"
"Nov 11, 2024",422.52,424.81,416,418.01,417.17,"2,45,03,300"
"Nov 8, 2024",425.32,426.5,421.78,422.54,421.7,"1,68,91,400"
"Nov 7, 2024",421.28,426.85,419.88,425.43,424.58,"1,99,01,800"
"Nov 6, 2024",412.42,420.45,410.52,420.18,419.34,"2,66,81,800"
"Nov 5, 2024",408.37,414.9,408.08,411.46,410.64,"1,76,26,000"
